OBJECTID,LoggerID,Date,DateTime,Interval,Average DO,Avg Temp (C),Avg Temp (F),Coordinates,Avg_Ct,GlobalID,x,y
105,2006674,2022-07-11,7/11/2022 4:00:00 AM,1,9.560833,19.50833,67.115,"41.759402, -70.269837",36,a4dc3cb4-a8f7-49ad-877f-52676cfeb77e,-7822402.47296633,5125006.88823219
106,2006674,2022-07-11,7/11/2022 10:00:00 AM,2,10.23639,15.91056,60.639,"41.759402, -70.269837",36,b8ef1171-1879-4ff2-968e-9e7d1fa1ca63,-7822402.47296633,5125006.88823219
107,2006674,2022-07-11,7/11/2022 4:00:00 PM,3,8.353333,27.4025,81.32449,"41.759402, -70.269837",36,b8fa8651-aa61-4cb0-bdf4-3388a40232fd,-7822402.47296633,5125006.88823219
108,2006674,2022-07-11,7/11/2022 10:00:00 PM,4,7.8025,30.01805,86.0325,"41.759402, -70.269837",36,76907796-e75f-4d7a-b6a4-ca7c52188894,-7822402.47296633,5125006.88823219
109,2006674,2022-07-12,7/12/2022 4:00:00 AM,1,9.11,21.53306,70.7595,"41.759402, -70.269837",36,e7dfc2df-5fd4-4517-8a56-89724349cd2d,-7822402.47296633,5125006.88823219
110,2006674,2022-07-12,7/12/2022 10:00:00 AM,2,9.499166,19.10361,66.3865,"41.759402, -70.269837",36,9eb7fd01-c955-4a64-b428-c6563a0b8642,-7822402.47296633,5125006.88823219
111,2006674,2022-07-12,7/12/2022 4:00:00 PM,3,7.9525,28.81028,83.8585,"41.759402, -70.269837",36,fdfca667-bc9b-4676-bf5e-22ca1cf3d48f,-7822402.47296633,5125006.88823219
112,2006674,2022-07-12,7/12/2022 10:00:00 PM,4,7.361111,32.27361,90.0925,"41.759402, -70.269837",36,32b9fcf2-6a88-4a76-958e-8c546583783a,-7822402.47296633,5125006.88823219
113,2006674,2022-07-13,7/13/2022 4:00:00 AM,1,8.17,26.49195,79.6855,"41.759402, -70.269837",36,fb114bf7-671a-4f1a-ab82-b1441fb3ac48,-7822402.47296633,5125006.88823219
114,2006674,2022-07-13,7/13/2022 10:00:00 AM,2,8.539444,24.00805,75.21449,"41.759402, -70.269837",36,e59b2e79-5d11-43fd-9df3-6e9ab7eb64fe,-7822402.47296633,5125006.88823219
115,2006674,2022-07-13,7/13/2022 4:00:00 PM,3,8.256667,26.06389,78.91499,"41.759402, -70.269837",36,1be1dd99-6960-4b82-893d-df76d8c0857d,-7822402.47296633,5125006.88823219
116,2006674,2022-07-13,7/13/2022 10:00:00 PM,4,7.806389,29.35917,84.8465,"41.759402, -70.269837",36,a5f7595b-121f-489d-84a2-3ab75208f387,-7822402.47296633,5125006.88823219
117,2006674,2022-07-14,7/14/2022 4:00:00 AM,1,8.420278,25.21778,77.392,"41.759402, -70.269837",36,a39faf9d-42de-475e-b36b-78e6ab9a8ce4,-7822402.47296633,5125006.88823219
118,2006674,2022-07-14,7/14/2022 10:00:00 AM,2,8.915556,22.39889,72.318,"41.759402, -70.269837",36,bbe11658-2950-4feb-a583-f2f2b5bd1f65,-7822402.47296633,5125006.88823219
119,2006674,2022-07-14,7/14/2022 4:00:00 PM,3,8.423889,25.37389,77.673,"41.759402, -70.269837",36,a8bbdcad-aaae-48ba-9de4-300f6ba6c223,-7822402.47296633,5125006.88823219
120,2006674,2022-07-14,7/14/2022 10:00:00 PM,4,7.8725,28.82028,83.8765,"41.759402, -70.269837",36,eef9a7be-6300-4b2d-a8a7-dc266b3d0822,-7822402.47296633,5125006.88823219
121,2006674,2022-07-15,7/15/2022 4:00:00 AM,1,8.456388,25.00694,77.0125,"41.759402, -70.269837",36,e4caeb15-b59a-4bcb-bac8-05e7cceee741,-7822402.47296633,5125006.88823219
122,2006674,2022-07-15,7/15/2022 10:00:00 AM,2,9.051111,21.78861,71.2195,"41.759402, -70.269837",36,2e42815a-389e-44aa-8c07-1042f9f4bcd9,-7822402.47296633,5125006.88823219
123,2006674,2022-07-15,7/15/2022 4:00:00 PM,3,8.851389,23.59528,74.4715,"41.759402, -70.269837",36,18023208-1768-40d9-81bc-90a54b397b9b,-7822402.47296633,5125006.88823219
